company_id,funding_round
5a5c533c942d09e481c157e7,b
5a5c533c942d09e481c157e7,b
5a5c533c942d09e481c157e7,b
5a5c533c942d09e481c157e7,debt_round
5a5c533c942d09e481c157e7,c
5a5c533c942d09e481c157e7,d
5a5c533c942d09e481c157e7,unattributed
5a5c533c942d09e481c157e7,private_equity
5a5c533c942d09e481c157e7,unattributed
5a5c533c942d09e481c157e7,unattributed
5a5c533c942d09e481c157e8,seed
5a5c533c942d09e481c157e8,a
5a5c533c942d09e481c157e9,b
5a5c533c942d09e481c157ea,a
5a5c533c942d09e481c157ea,a
5a5c533c942d09e481c157ea,unattributed
5a5c533c942d09e481c157ea,unattributed
5a5c533c942d09e481c157ec,a
5a5c533c942d09e481c157ec,b
5a5c533c942d09e481c157ec,c
5a5c533c942d09e481c157ee,a
5a5c533c942d09e481c157ef,b
5a5c533c942d09e481c157ef,debt_round
5a5c533c942d09e481c157ef,debt_round
5a5c533c942d09e481c157ef,c
5a5c533c942d09e481c157f2,a
5a5c533c942d09e481c157f5,a
5a5c533c942d09e481c157f5,b
5a5c533c942d09e481c157f5,debt_round
5a5c533c942d09e481c157f7,seed
5a5c533c942d09e481c157f8,b
5a5c533c942d09e481c157f9,b
5a5c533c942d09e481c157f9,unattributed
5a5c533c942d09e481c157f9,a
5a5c533c942d09e481c157f9,unattributed
5a5c533c942d09e481c157fa,seed
5a5c533c942d09e481c157fa,a
5a5c533c942d09e481c157fa,b
5a5c533c942d09e481c157fc,a
5a5c533c942d09e481c157fd,a
5a5c533c942d09e481c157fd,b
5a5c533c942d09e481c157fe,a
5a5c533c942d09e481c157fe,unattributed
5a5c533c942d09e481c157ff,b
5a5c533c942d09e481c15800,a
5a5c533c942d09e481c15801,a
5a5c533c942d09e481c15801,b
5a5c533c942d09e481c15801,c
5a5c533c942d09e481c15801,d
5a5c533c942d09e481c15801,e
5a5c533c942d09e481c15801,private_equity
5a5c533c942d09e481c15802,a
5a5c533c942d09e481c15802,unattributed
5a5c533c942d09e481c15803,seed
5a5c533c942d09e481c15803,unattributed
5a5c533c942d09e481c15803,b
5a5c533c942d09e481c15803,unattributed
5a5c533c942d09e481c15804,a
5a5c533c942d09e481c15804,private_equity
5a5c533c942d09e481c15806,debt_round
5a5c533c942d09e481c15806,unattributed
5a5c533c942d09e481c15806,b
5a5c533c942d09e481c15806,c
5a5c533c942d09e481c15807,a
5a5c533c942d09e481c15807,b
5a5c533c942d09e481c15807,c
5a5c533c942d09e481c15807,debt_round
5a5c533c942d09e481c15807,e
5a5c533c942d09e481c15807,unattributed
5a5c533c942d09e481c15809,a
5a5c533c942d09e481c1580b,a
5a5c533c942d09e481c1580b,b
5a5c533c942d09e481c1580b,b
5a5c533c942d09e481c1580c,a
5a5c533c942d09e481c1580e,a
5a5c533c942d09e481c1580e,b
5a5c533c942d09e481c1580e,b
5a5c533c942d09e481c1580e,unattributed
5a5c533c942d09e481c1580e,debt_round
5a5c533c942d09e481c1580f,seed
5a5c533c942d09e481c1580f,angel
5a5c533c942d09e481c15810,c
5a5c533c942d09e481c15810,a
5a5c533c942d09e481c15810,b
5a5c533c942d09e481c15810,d
5a5c533c942d09e481c15812,angel
5a5c533c942d09e481c15813,a
5a5c533c942d09e481c15814,angel
5a5c533c942d09e481c15814,a
5a5c533c942d09e481c15815,b
5a5c533c942d09e481c15815,a
5a5c533c942d09e481c15817,a
5a5c533c942d09e481c15817,b
5a5c533c942d09e481c15817,c
5a5c533c942d09e481c15818,a
5a5c533c942d09e481c15818,b
5a5c533c942d09e481c1581a,a
5a5c533c942d09e481c1581a,b
5a5c533c942d09e481c1581a,c
5a5c533c942d09e481c1581a,d
5a5c533c942d09e481c1581a,e
5a5c533c942d09e481c1581b,c
5a5c533c942d09e481c1581b,d
5a5c533c942d09e481c1581b,b
5a5c533c942d09e481c1581c,a
5a5c533c942d09e481c1581c,debt_round
5a5c533c942d09e481c1581c,b
5a5c533c942d09e481c1581e,angel
5a5c533c942d09e481c1581f,a
5a5c533c942d09e481c15820,b
5a5c533c942d09e481c15820,unattributed
5a5c533c942d09e481c15820,c
5a5c533c942d09e481c15820,unattributed
5a5c533c942d09e481c15821,seed
5a5c533c942d09e481c15821,a
5a5c533c942d09e481c15821,b
5a5c533c942d09e481c15822,seed
5a5c533c942d09e481c15824,seed
5a5c533c942d09e481c15825,c
5a5c533c942d09e481c15825,b
5a5c533c942d09e481c15825,a
5a5c533c942d09e481c15825,unattributed
5a5c533c942d09e481c15825,convertible
5a5c533c942d09e481c15826,angel
5a5c533c942d09e481c15826,a
5a5c533c942d09e481c15827,a
5a5c533c942d09e481c15827,b
5a5c533c942d09e481c15827,c
5a5c533c942d09e481c15827,debt_round
5a5c533c942d09e481c15827,unattributed
5a5c533c942d09e481c15828,unattributed
5a5c533c942d09e481c15828,c
5a5c533c942d09e481c15828,d
5a5c533c942d09e481c15828,e
5a5c533c942d09e481c15828,f
5a5c533c942d09e481c15828,unattributed
5a5c533c942d09e481c15828,debt_round
5a5c533c942d09e481c15828,g
5a5c533c942d09e481c15828,debt_round
5a5c533c942d09e481c15828,debt_round
5a5c533c942d09e481c15829,unattributed
5a5c533c942d09e481c1582a,seed
5a5c533c942d09e481c1582b,c
5a5c533c942d09e481c1582b,b
5a5c533c942d09e481c1582b,a
5a5c533c942d09e481c1582b,d
5a5c533c942d09e481c1582b,unattributed
5a5c533c942d09e481c1582b,debt_round
5a5c533c942d09e481c1582c,seed
5a5c533c942d09e481c1582d,a
5a5c533c942d09e481c1582d,b
5a5c533c942d09e481c1582d,c
5a5c533c942d09e481c1582d,d
5a5c533c942d09e481c1582d,e
5a5c533c942d09e481c1582e,a
5a5c533c942d09e481c1582f,a
5a5c533c942d09e481c1582f,b
5a5c533c942d09e481c15832,d
5a5c533c942d09e481c15832,a
5a5c533c942d09e481c15832,b
5a5c533c942d09e481c15832,c
5a5c533c942d09e481c15832,d
5a5c533c942d09e481c15832,e
5a5c533c942d09e481c15832,unattributed
5a5c533c942d09e481c15832,unattributed
5a5c533c942d09e481c15832,f
5a5c533c942d09e481c15832,a
5a5c533c942d09e481c15833,b
5a5c533c942d09e481c15833,c
5a5c533c942d09e481c15833,a
5a5c533c942d09e481c15834,b
5a5c533c942d09e481c15834,a
5a5c533c942d09e481c15834,debt_round
5a5c533c942d09e481c15834,unattributed
5a5c533c942d09e481c15834,unattributed
5a5c533c942d09e481c15834,unattributed
5a5c533c942d09e481c15835,angel
5a5c533c942d09e481c15835,a
5a5c533c942d09e481c15835,c
5a5c533c942d09e481c15835,d
5a5c533c942d09e481c15835,b
5a5c533c942d09e481c15835,e
5a5c533c942d09e481c15835,unattributed
5a5c533c942d09e481c15836,a
5a5c533c942d09e481c15836,debt_round
5a5c533c942d09e481c15836,c
5a5c533c942d09e481c15836,d
5a5c533c942d09e481c15837,b
5a5c533c942d09e481c15837,unattributed
5a5c533c942d09e481c15837,debt_round
5a5c533c942d09e481c15837,private_equity
5a5c533c942d09e481c15838,a
5a5c533c942d09e481c15839,a
5a5c533c942d09e481c15839,b
5a5c533c942d09e481c15839,c
5a5c533c942d09e481c1583a,b
5a5c533c942d09e481c1583a,c
5a5c533c942d09e481c1583a,d
5a5c533c942d09e481c1583a,unattributed
5a5c533c942d09e481c1583a,a
5a5c533c942d09e481c1583a,private_equity
5a5c533c942d09e481c1583b,a
5a5c533c942d09e481c1583b,b
5a5c533c942d09e481c1583d,b
5a5c533c942d09e481c1583d,a
5a5c533c942d09e481c1583d,c
5a5c533c942d09e481c1583e,a
5a5c533c942d09e481c1583e,angel
5a5c533c942d09e481c1583e,a
5a5c533c942d09e481c1583f,angel
5a5c533c942d09e481c15840,c
5a5c533c942d09e481c15840,d
5a5c533c942d09e481c15840,a
5a5c533c942d09e481c15840,b
5a5c533c942d09e481c15840,e
5a5c533c942d09e481c15840,debt_round
5a5c533c942d09e481c15840,f
5a5c533c942d09e481c15840,debt_round
5a5c533c942d09e481c15840,unattributed
5a5c533c942d09e481c15840,unattributed
5a5c533c942d09e481c15840,unattributed
5a5c533c942d09e481c15842,a
5a5c533c942d09e481c15842,unattributed
5a5c533c942d09e481c15845,a
5a5c533c942d09e481c15845,b
5a5c533c942d09e481c15845,unattributed
5a5c533c942d09e481c15847,angel
5a5c533c942d09e481c15847,seed
5a5c533c942d09e481c15847,angel
5a5c533c942d09e481c15848,a
5a5c533c942d09e481c15848,b
5a5c533c942d09e481c15848,unattributed
5a5c533c942d09e481c15849,seed
5a5c533c942d09e481c15849,a
5a5c533c942d09e481c1584a,angel
5a5c533c942d09e481c1584b,seed
5a5c533c942d09e481c1584e,seed
5a5c533c942d09e481c1584e,a
5a5c533c942d09e481c1584e,b
5a5c533c942d09e481c1584f,a
5a5c533c942d09e481c15852,a
5a5c533c942d09e481c15852,a
5a5c533c942d09e481c15852,unattributed
5a5c533c942d09e481c15852,c
5a5c533c942d09e481c15852,unattributed
5a5c533c942d09e481c15853,angel
5a5c533c942d09e481c15854,a
5a5c533c942d09e481c15856,a
5a5c533c942d09e481c15857,a
5a5c533c942d09e481c15857,b
5a5c533c942d09e481c15857,c
5a5c533c942d09e481c15857,b
5a5c533c942d09e481c15858,seed
5a5c533c942d09e481c15859,a
5a5c533c942d09e481c15859,b
5a5c533c942d09e481c15859,debt_round
5a5c533c942d09e481c15859,c
5a5c533c942d09e481c15859,c
5a5c533c942d09e481c15859,grant
5a5c533c942d09e481c15859,c
5a5c533c942d09e481c15859,unattributed
5a5c533c942d09e481c15859,private_equity
5a5c533c942d09e481c1585a,a
5a5c533c942d09e481c1585c,a
5a5c533c942d09e481c15860,a
5a5c533c942d09e481c15860,b
5a5c533c942d09e481c15860,seed
5a5c533c942d09e481c15860,c
5a5c533c942d09e481c15860,d
5a5c533c942d09e481c15861,a
5a5c533c942d09e481c15862,d
5a5c533c942d09e481c15862,c
5a5c533c942d09e481c15862,a
5a5c533c942d09e481c15862,b
5a5c533c942d09e481c15862,unattributed
5a5c533c942d09e481c15862,unattributed
5a5c533c942d09e481c15862,debt_round
5a5c533c942d09e481c15862,private_equity
5a5c533c942d09e481c15862,unattributed
5a5c533c942d09e481c15864,angel
5a5c533c942d09e481c15867,a
5a5c533c942d09e481c15867,b
5a5c533c942d09e481c15867,c
5a5c533c942d09e481c15867,unattributed
5a5c533c942d09e481c15867,unattributed
5a5c533c942d09e481c15868,seed
5a5c533c942d09e481c15868,angel
5a5c533c942d09e481c15868,a
5a5c533c942d09e481c15868,partial
5a5c533c942d09e481c1586a,a
5a5c533c942d09e481c1586b,c
5a5c533c942d09e481c1586b,b
5a5c533c942d09e481c1586b,a
5a5c533c942d09e481c1586b,debt_round
5a5c533c942d09e481c1586c,a
5a5c533c942d09e481c1586c,b
5a5c533c942d09e481c1586c,a
5a5c533c942d09e481c1586d,a
5a5c533c942d09e481c1586f,a
5a5c533c942d09e481c1586f,b
5a5c533c942d09e481c1586f,c
5a5c533c942d09e481c15870,b
5a5c533c942d09e481c15870,c
5a5c533c942d09e481c15870,unattributed
5a5c533c942d09e481c15871,a
5a5c533c942d09e481c15871,b
5a5c533c942d09e481c15871,debt_round
5a5c533c942d09e481c15871,partial
5a5c533c942d09e481c15871,c
5a5c533c942d09e481c15872,a
5a5c533c942d09e481c15872,debt_round
5a5c533c942d09e481c15873,b
5a5c533c942d09e481c15875,seed
5a5c533c942d09e481c15875,a
5a5c533c942d09e481c15875,b
5a5c533c942d09e481c15875,c
5a5c533c942d09e481c15875,debt_round
5a5c533c942d09e481c15875,d
5a5c533c942d09e481c15876,angel
5a5c533c942d09e481c15878,seed
5a5c533c942d09e481c15878,seed
5a5c533c942d09e481c15879,a
5a5c533c942d09e481c15879,a
5a5c533c942d09e481c1587a,seed
5a5c533c942d09e481c1587b,b
5a5c533c942d09e481c1587c,angel
5a5c533c942d09e481c1587c,a
5a5c533c942d09e481c1587d,seed
5a5c533c942d09e481c1587d,a
5a5c533c942d09e481c1587e,unattributed
5a5c533c942d09e481c1587f,a
5a5c533c942d09e481c1587f,b
5a5c533c942d09e481c1587f,c
5a5c533c942d09e481c1587f,d
5a5c533c942d09e481c15880,angel
5a5c533c942d09e481c15880,b
5a5c533c942d09e481c15880,a
5a5c533c942d09e481c15883,a
5a5c533c942d09e481c15884,a
5a5c533c942d09e481c15884,b
5a5c533c942d09e481c15884,debt_round
5a5c533c942d09e481c15885,angel
5a5c533c942d09e481c15885,angel
5a5c533c942d09e481c15886,debt_round
5a5c533c942d09e481c15886,a
5a5c533c942d09e481c15889,a
5a5c533c942d09e481c15889,b
5a5c533c942d09e481c15889,angel
5a5c533c942d09e481c15889,b
5a5c533c942d09e481c15889,b
5a5c533c942d09e481c15889,c
5a5c533c942d09e481c15889,a
5a5c533c942d09e481c15889,b
5a5c533c942d09e481c1588a,c
5a5c533c942d09e481c1588a,a
5a5c533c942d09e481c1588a,b
5a5c533c942d09e481c1588d,a
5a5c533c942d09e481c1588d,unattributed
5a5c533c942d09e481c1588e,angel
5a5c533c942d09e481c1588f,seed
5a5c533c942d09e481c15891,angel
5a5c533c942d09e481c15892,a
5a5c533c942d09e481c15892,b
5a5c533c942d09e481c15892,unattributed
5a5c533c942d09e481c15892,c
5a5c533c942d09e481c15894,a
5a5c533c942d09e481c15895,seed
5a5c533c942d09e481c15896,a
5a5c533c942d09e481c15897,a
5a5c533c942d09e481c15898,a
5a5c533c942d09e481c15899,b
5a5c533c942d09e481c1589a,b
5a5c533c942d09e481c1589a,a
5a5c533c942d09e481c1589b,seed
5a5c533c942d09e481c1589c,a
5a5c533c942d09e481c1589d,seed
5a5c533c942d09e481c1589e,a
5a5c533c942d09e481c1589f,a
5a5c533c942d09e481c1589f,unattributed
5a5c533c942d09e481c158a0,angel
5a5c533c942d09e481c158a0,a
5a5c533c942d09e481c158a0,b
5a5c533c942d09e481c158a5,b
5a5c533c942d09e481c158a5,a
5a5c533c942d09e481c158a5,c
